Model,MAE,MSE,RMSE,R2
Linear Regression,1178.5855568014908,2651044.342845936,1628.2027953685424,0.5581842218281345
Random Forest,605.4750222630519,643948.2894296241,802.4638866825248,0.8926813444805042
XGBoost,566.9703369140625,557672.9375,746.7750246894977,0.9070597887039185
XGBoost (Tuned),555.9403686523438,537001.0,732.8035207339004,0.9105048775672913
